gpu_prefix_length,gpu_experts,gpu_tokens,pim_tokens,gpu_memory_us,gpu_compute_us,gpu_path_us,pim_path_us,scheduler_us,objective_us,step,layer,selected
9,11;18;19;28;45;62;93;106;122,64,0,26.303784,3.268435456,29.572219456,0.0,20.0,49.572219456,2,24,True
9,1;13;34;43;72;91;110;122;124,64,0,26.303784,3.268435456,29.572219456,0.0,20.0,49.572219456,2,25,True
8,2;5;29;31;72;97;109;113,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,2,26,True
9,14;15;26;44;63;79;84;110;118,64,0,26.303784,3.268435456,29.572219456,0.0,20.0,49.572219456,2,27,True
9,42;46;70;91;98;107;109;116;122,64,0,26.303784,3.268435456,29.572219456,0.0,20.0,49.572219456,2,28,True
9,13;34;37;51;60;70;96;120;124,64,0,26.303784,3.268435456,29.572219456,0.0,20.0,49.572219456,2,29,True
9,6;58;63;82;87;93;94;98;107,64,0,26.303784,3.268435456,29.572219456,0.0,20.0,49.572219456,2,30,True
11,11;15;24;28;29;36;38;63;76;113;114,64,0,32.264232,3.268435456,35.532667456,0.0,20.0,55.532667456,2,31,True
9,0;6;48;54;68;72;74;85;90,64,0,26.303784,3.268435456,29.572219456,0.0,20.0,49.572219456,2,32,True
10,2;13;26;38;53;56;63;67;77;115,64,0,29.249064,3.268435456,32.517499456,0.0,20.0,52.517499456,2,33,True
9,0;1;10;36;42;75;84;89;92,64,0,26.303784,3.268435456,29.572219456,0.0,20.0,49.572219456,2,34,True
10,15;17;28;31;36;48;62;81;104;120,64,0,29.249064,3.268435456,32.517499456,0.0,20.0,52.517499456,2,35,True
8,11;18;19;49;57;62;101;106,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,2,36,True
9,1;13;27;34;43;71;91;110;124,64,0,26.303784,3.268435456,29.572219456,0.0,20.0,49.572219456,2,37,True
8,2;29;31;97;108;109;110;113,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,2,38,True
8,14;16;48;51;63;84;99;118,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,2,39,True
9,19;46;62;70;91;94;97;98;122,64,0,26.303784,3.268435456,29.572219456,0.0,20.0,49.572219456,2,40,True
11,34;37;80;81;96;100;116;118;122;123;124,64,0,32.264232,3.268435456,35.532667456,0.0,20.0,55.532667456,2,41,True
11,0;14;30;33;43;47;50;53;76;83;88,64,0,32.264232,3.268435456,35.532667456,0.0,20.0,55.532667456,2,42,True
9,11;30;69;74;80;94;96;99;111,64,0,26.303784,3.268435456,29.572219456,0.0,20.0,49.572219456,2,43,True
9,12;15;49;50;63;79;94;104;113,64,0,26.303784,3.268435456,29.572219456,0.0,20.0,49.572219456,2,44,True
9,4;19;41;54;65;86;109;113;126,64,0,26.303784,3.268435456,29.572219456,0.0,20.0,49.572219456,2,45,True
8,4;15;18;20;48;70;92;122,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,2,46,True
10,7;10;30;41;46;58;72;79;84;103,64,0,29.249064,3.268435456,32.517499456,0.0,20.0,52.517499456,2,47,True
8,6;26;38;43;44;59;65;73,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,3,0,True
8,2;14;26;34;49;50;94;124,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,3,1,True
8,18;53;62;67;72;74;82;123,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,3,2,True
9,23;46;51;56;67;71;87;101;114,64,0,26.303784,3.268435456,29.572219456,0.0,20.0,49.572219456,3,3,True
9,12;43;64;65;95;107;108;114;121,64,0,26.303784,3.268435456,29.572219456,0.0,20.0,49.572219456,3,4,True
10,4;20;32;46;53;65;73;94;104;120,64,0,29.249064,3.268435456,32.517499456,0.0,20.0,52.517499456,3,5,True
9,22;33;49;58;82;92;112;121;126,64,0,26.303784,3.268435456,29.572219456,0.0,20.0,49.572219456,3,6,True
8,15;19;24;29;52;56;114;125,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,3,7,True
10,22;23;50;53;58;66;68;83;92;102,64,0,29.249064,3.268435456,32.517499456,0.0,20.0,52.517499456,3,8,True
9,2;11;23;26;38;63;67;69;95,64,0,26.303784,3.268435456,29.572219456,0.0,20.0,49.572219456,3,9,True
10,0;1;5;28;31;36;58;84;92;98,64,0,29.249064,3.268435456,32.517499456,0.0,20.0,52.517499456,3,10,True
10,14;15;17;36;48;62;81;104;110;121,64,0,29.249064,3.268435456,32.517499456,0.0,20.0,52.517499456,3,11,True
9,11;18;27;39;41;47;78;89;111,64,0,26.303784,3.268435456,29.572219456,0.0,20.0,49.572219456,3,12,True
9,13;27;33;34;63;85;91;93;124,64,0,26.303784,3.268435456,29.572219456,0.0,20.0,49.572219456,3,13,True
8,2;49;61;63;72;97;109;113,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,3,14,True
8,26;50;58;63;73;79;84;127,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,3,15,True
8,42;48;82;91;97;98;107;122,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,3,16,True
9,30;34;59;80;90;105;122;123;124,64,0,26.303784,3.268435456,29.572219456,0.0,20.0,49.572219456,3,17,True
9,3;49;58;82;87;91;107;112;126,64,0,26.303784,3.268435456,29.572219456,0.0,20.0,49.572219456,3,18,True
10,10;29;52;56;76;84;92;102;114;119,64,0,29.249064,3.268435456,32.517499456,0.0,20.0,52.517499456,3,19,True
8,23;48;53;76;85;92;102;114,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,3,20,True
8,2;6;26;38;56;58;63;67,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,3,21,True
9,0;1;6;8;12;36;75;84;92,64,0,26.303784,3.268435456,29.572219456,0.0,20.0,49.572219456,3,22,True
9,11;14;17;31;32;36;48;81;121,64,0,26.303784,3.268435456,29.572219456,0.0,20.0,49.572219456,3,23,True
10,11;18;20;28;45;47;57;91;93;122,64,0,29.249064,3.268435456,32.517499456,0.0,20.0,52.517499456,3,24,True
8,13;34;43;72;91;110;124;126,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,3,25,True
9,2;29;49;61;67;72;109;116;121,64,0,26.303784,3.268435456,29.572219456,0.0,20.0,49.572219456,3,26,True
9,15;24;26;44;63;79;84;88;118,64,0,26.303784,3.268435456,29.572219456,0.0,20.0,49.572219456,3,27,True
9,10;42;48;63;70;91;98;107;122,64,0,26.303784,3.268435456,29.572219456,0.0,20.0,49.572219456,3,28,True
