gpu_prefix_length,gpu_experts,gpu_tokens,pim_tokens,gpu_memory_us,gpu_compute_us,gpu_path_us,pim_path_us,scheduler_us,objective_us,isolation_available,step,layer,selected
4,2;26;50;58,64,64,11.366784,3.268435456,14.635219456,98.535528,20.0,118.535528,True,0,15,False
5,2;26;50;58;63,80,48,14.381952,3.33554432,17.71749632,73.909992,20.0,93.909992,True,0,15,False
6,2;26;50;58;63;84,96,32,17.385888,3.402653184,20.788541184,49.285704,20.0,69.285704,True,0,15,False
7,2;26;50;58;63;84;88,112,16,20.327112,3.469762048,23.796874048,24.661104,20.0,44.661104,True,0,15,True
8,2;26;50;58;63;84;88;127,128,0,23.288616,3.536870912,26.825486912,0.0,20.0,46.825486912,True,0,15,False
0,,0,128,0.0,0.0,0.0,197.072304,20.0,217.072304,True,0,16,False
1,42,16,112,2.461056,3.067108864,5.528164864,172.447704,20.0,192.447704,True,0,16,False
2,42;48,32,96,5.406336,3.134217728,8.540553728,147.822168,20.0,167.822168,True,0,16,False
3,42;48;54,48,80,8.421504,3.201326592,11.622830592,123.196632,20.0,143.196632,True,0,16,False
4,42;48;54;62,64,64,11.366784,3.268435456,14.635219456,98.535528,20.0,118.535528,True,0,16,False
5,42;48;54;62;97,80,48,14.381952,3.33554432,17.71749632,73.909992,20.0,93.909992,True,0,16,False
6,42;48;54;62;97;98,96,32,17.385888,3.402653184,20.788541184,49.285704,20.0,69.285704,True,0,16,False
7,42;48;54;62;97;98;107,112,16,20.327112,3.469762048,23.796874048,24.661104,20.0,44.661104,True,0,16,True
8,42;48;54;62;97;98;107;122,126,2,23.24868,3.528482304,26.777162304,3.112512,20.0,46.777162304,True,0,16,False
9,42;46;48;54;62;97;98;107;122,128,0,26.303784,3.536870912,29.840654912,0.0,20.0,49.840654912,True,0,16,False
0,,0,128,0.0,0.0,0.0,197.072304,20.0,217.072304,True,0,17,False
1,34,16,112,2.461056,3.067108864,5.528164864,172.447704,20.0,192.447704,True,0,17,False
2,34;39,32,96,5.406336,3.134217728,8.540553728,147.822168,20.0,167.822168,True,0,17,False
3,34;39;59,48,80,8.421504,3.201326592,11.622830592,123.196632,20.0,143.196632,True,0,17,False
4,34;39;59;80,64,64,11.366784,3.268435456,14.635219456,98.535528,20.0,118.535528,True,0,17,False
5,34;39;59;80;122,80,48,14.381952,3.33554432,17.71749632,73.909992,20.0,93.909992,True,0,17,False
6,34;39;59;80;122;124,96,32,17.385888,3.402653184,20.788541184,49.285704,20.0,69.285704,True,0,17,False
7,13;34;39;59;80;122;124,109,19,20.378592,3.457179136,23.835771136,29.296488,20.0,49.296488,True,0,17,False
8,13;34;39;59;80;122;123;124,122,6,23.228712,3.511705088,26.740417088,9.268896,20.0,46.740417088,True,0,17,True
9,13;34;39;59;61;80;122;123;124,126,2,26.263848,3.528482304,29.792330304,3.112512,20.0,49.792330304,True,0,17,False
10,13;34;39;59;60;61;80;122;123;124,128,0,29.249064,3.536870912,32.785934912,0.0,20.0,52.785934912,True,0,17,False
0,,0,128,0.0,0.0,0.0,197.072304,20.0,217.072304,True,0,18,False
1,49,16,112,2.461056,3.067108864,5.528164864,172.447704,20.0,192.447704,True,0,18,False
2,49;58,32,96,5.406336,3.134217728,8.540553728,147.822168,20.0,167.822168,True,0,18,False
3,49;58;82,48,80,8.421504,3.201326592,11.622830592,123.196632,20.0,143.196632,True,0,18,False
4,49;58;82;87,64,64,11.366784,3.268435456,14.635219456,98.535528,20.0,118.535528,True,0,18,False
5,49;58;82;87;91,80,48,14.381952,3.33554432,17.71749632,73.909992,20.0,93.909992,True,0,18,False
6,49;58;82;87;91;104,96,32,17.385888,3.402653184,20.788541184,49.285704,20.0,69.285704,True,0,18,False
7,49;58;82;87;91;104;112,112,16,20.327112,3.469762048,23.796874048,24.661104,20.0,44.661104,True,0,18,True
8,49;58;82;87;91;104;112;126,128,0,23.288616,3.536870912,26.825486912,0.0,20.0,46.825486912,True,0,18,False
0,,0,128,0.0,0.0,0.0,197.072304,20.0,217.072304,True,0,19,False
1,10,16,112,2.461056,3.067108864,5.528164864,172.447704,20.0,192.447704,True,0,19,False
2,10;15,32,96,5.406336,3.134217728,8.540553728,147.822168,20.0,167.822168,True,0,19,False
3,10;15;29,48,80,8.421504,3.201326592,11.622830592,123.196632,20.0,143.196632,True,0,19,False
4,10;15;29;52,64,64,11.366784,3.268435456,14.635219456,98.535528,20.0,118.535528,True,0,19,False
5,10;15;29;52;56,80,48,14.381952,3.33554432,17.71749632,73.909992,20.0,93.909992,True,0,19,False
6,10;15;29;52;56;76,96,32,17.385888,3.402653184,20.788541184,49.285704,20.0,69.285704,True,0,19,False
7,10;15;29;52;56;76;102,112,16,20.327112,3.469762048,23.796874048,24.661104,20.0,44.661104,True,0,19,True
8,10;15;29;52;56;76;102;114,128,0,23.288616,3.536870912,26.825486912,0.0,20.0,46.825486912,True,0,19,False
0,,0,128,0.0,0.0,0.0,197.072304,20.0,217.072304,True,0,20,False
1,23,16,112,2.461056,3.067108864,5.528164864,172.447704,20.0,192.447704,True,0,20,False
2,23;48,32,96,5.406336,3.134217728,8.540553728,147.822168,20.0,167.822168,True,0,20,False
3,23;48;53,48,80,8.421504,3.201326592,11.622830592,123.196632,20.0,143.196632,True,0,20,False
