layer,previous_step,current_step,step_delta,active_expert_jaccard,hot_expert_jaccard,load_churn,mean_request_route_jaccard,changed_request_fraction,same_load_signature
29,3,4,1,0.2,0.230769231,0.671875,0.197802198,1.0,False
29,4,5,1,0.416666667,0.454545455,0.40625,0.424242424,1.0,False
29,5,6,1,0.454545455,0.454545455,0.375,0.454545455,1.0,True
29,6,7,1,0.416666667,0.454545455,0.4375,0.393939394,1.0,False
30,0,1,1,0.2,0.230769231,0.625,0.230769231,1.0,False
30,1,2,1,0.266666667,0.142857143,0.6875,0.188644689,1.0,False
30,2,3,1,0.117647059,0.142857143,0.796875,0.114285714,1.0,False
30,3,4,1,0.266666667,0.333333333,0.515625,0.320512821,1.0,False
30,4,5,1,0.2,0.230769231,0.625,0.230769231,1.0,True
30,5,6,1,0.583333333,0.6,0.234375,0.6,1.0,False
30,6,7,1,0.583333333,0.454545455,0.328125,0.512121212,1.0,False
31,0,1,1,0.307692308,0.230769231,0.625,0.230769231,1.0,False
31,1,2,1,0.384615385,0.333333333,0.5,0.320512821,1.0,True
31,2,3,1,0.176470588,0.230769231,0.625,0.230769231,1.0,False
31,3,4,1,0.4,0.333333333,0.453125,0.365967366,1.0,False
31,4,5,1,0.4,0.230769231,0.625,0.197802198,1.0,False
31,5,6,1,0.357142857,0.333333333,0.453125,0.378787879,1.0,False
31,6,7,1,0.416666667,0.333333333,0.453125,0.378787879,1.0,False
32,0,1,1,0.2,0.230769231,0.6875,0.186813187,1.0,False
32,1,2,1,0.357142857,0.333333333,0.5625,0.282051282,1.0,False
32,2,3,1,0.058823529,0.066666667,0.875,0.066666667,1.0,False
32,3,4,1,0.214285714,0.230769231,0.625,0.230769231,1.0,False
32,4,5,1,0.285714286,0.230769231,0.609375,0.243589744,1.0,True
32,5,6,1,0.285714286,0.230769231,0.59375,0.256410256,1.0,False
32,6,7,1,0.25,0.230769231,0.640625,0.21978022,1.0,False
33,0,1,1,0.357142857,0.454545455,0.46875,0.368298368,1.0,False
33,1,2,1,0.333333333,0.230769231,0.5625,0.282051282,1.0,False
33,2,3,1,0.384615385,0.333333333,0.53125,0.307692308,1.0,False
33,3,4,1,0.285714286,0.230769231,0.65625,0.208791209,1.0,False
33,4,5,1,0.461538462,0.454545455,0.390625,0.442424242,1.0,False
33,5,6,1,0.538461538,0.454545455,0.40625,0.409090909,1.0,False
33,6,7,1,0.333333333,0.230769231,0.609375,0.243589744,1.0,False
34,0,1,1,0.538461538,0.454545455,0.34375,0.490909091,1.0,False
34,1,2,1,0.466666667,0.333333333,0.46875,0.348484848,1.0,False
34,2,3,1,0.3125,0.230769231,0.640625,0.221611722,1.0,False
34,3,4,1,0.285714286,0.333333333,0.5,0.333333333,1.0,True
34,4,5,1,0.461538462,0.333333333,0.5,0.34032634,1.0,False
34,5,6,1,0.5,0.454545455,0.328125,0.509090909,1.0,False
34,6,7,1,0.133333333,0.142857143,0.75,0.142857143,1.0,False
35,0,1,1,0.384615385,0.333333333,0.5,0.337995338,1.0,True
35,1,2,1,0.176470588,0.066666667,0.8125,0.104761905,1.0,False
35,2,3,1,0.3125,0.333333333,0.59375,0.258241758,1.0,False
35,3,4,1,0.266666667,0.333333333,0.59375,0.258241758,1.0,False
35,4,5,1,0.357142857,0.333333333,0.46875,0.363636364,1.0,False
35,5,6,1,0.266666667,0.333333333,0.546875,0.294871795,1.0,False
35,6,7,1,0.384615385,0.230769231,0.5625,0.282051282,1.0,False
36,0,1,1,0.545454545,0.454545455,0.34375,0.490909091,1.0,False
36,1,2,1,0.545454545,0.6,0.296875,0.545454545,1.0,False
36,2,3,1,0.1875,0.142857143,0.78125,0.125274725,1.0,False
36,3,4,1,0.1875,0.142857143,0.734375,0.153846154,1.0,False
36,4,5,1,0.416666667,0.454545455,0.375,0.454545455,1.0,False
36,5,6,1,0.454545455,0.454545455,0.375,0.454545455,1.0,True
36,6,7,1,0.545454545,0.454545455,0.375,0.454545455,1.0,False
37,0,1,1,0.6,0.6,0.25,0.6,1.0,True
37,1,2,1,0.545454545,0.454545455,0.375,0.454545455,1.0,False
37,2,3,1,0.214285714,0.230769231,0.625,0.230769231,1.0,False
37,3,4,1,0.285714286,0.142857143,0.6875,0.186813187,1.0,False
37,4,5,1,0.357142857,0.454545455,0.375,0.454545455,1.0,False
37,5,6,1,0.416666667,0.454545455,0.375,0.454545455,1.0,False
37,6,7,1,0.357142857,0.333333333,0.484375,0.348484848,1.0,False
38,0,1,1,0.333333333,0.333333333,0.5,0.333333333,1.0,True
38,1,2,1,0.307692308,0.333333333,0.515625,0.320512821,1.0,False
38,2,3,1,0.266666667,0.333333333,0.5,0.333333333,1.0,False
38,3,4,1,0.25,0.230769231,0.578125,0.269230769,1.0,False
38,4,5,1,0.333333333,0.333333333,0.484375,0.348484848,1.0,False
38,5,6,1,0.266666667,0.333333333,0.5,0.333333333,1.0,False
38,6,7,1,0.0625,0.066666667,0.875,0.066666667,1.0,False
39,0,1,1,0.266666667,0.333333333,0.5,0.333333333,1.0,False
39,1,2,1,0.266666667,0.230769231,0.625,0.230769231,1.0,False
39,2,3,1,0.285714286,0.333333333,0.515625,0.320512821,1.0,False
39,3,4,1,0.285714286,0.230769231,0.625,0.230769231,1.0,False
39,4,5,1,0.583333333,0.777777778,0.171875,0.711111111,1.0,False
39,5,6,1,0.461538462,0.454545455,0.359375,0.457575758,1.0,False
39,6,7,1,0.357142857,0.230769231,0.546875,0.294871795,1.0,False
40,0,1,1,0.285714286,0.230769231,0.578125,0.269230769,1.0,False
40,1,2,1,0.2,0.142857143,0.734375,0.153846154,1.0,False
40,2,3,1,0.285714286,0.230769231,0.625,0.232600733,1.0,True
40,3,4,1,0.416666667,0.454545455,0.390625,0.439393939,1.0,False
40,4,5,1,0.307692308,0.333333333,0.5,0.333333333,1.0,False
