layer,previous_step,current_step,step_delta,active_expert_jaccard,hot_expert_jaccard,load_churn,mean_request_route_jaccard,changed_request_fraction,same_load_signature
24,4,5,1,0.4,0.333333333,0.484375,0.257367632,1.0,False
24,5,6,1,0.381818182,0.230769231,0.5,0.229395604,1.0,False
24,6,7,1,0.396825397,0.066666667,0.484375,0.145512821,1.0,False
25,0,1,1,0.229166667,0.142857143,0.625,0.193406593,1.0,False
25,1,2,1,0.510204082,0.333333333,0.375,0.149084249,1.0,False
25,2,3,1,0.489361702,0.333333333,0.375,0.292207792,1.0,False
25,3,4,1,0.354166667,0.6,0.4375,0.280852481,1.0,False
25,4,5,1,0.264150943,0.454545455,0.5,0.296003996,1.0,False
25,5,6,1,0.368421053,0.333333333,0.46875,0.246053946,1.0,False
25,6,7,1,0.3125,0.142857143,0.53125,0.168956044,1.0,False
26,0,1,1,0.346153846,0.142857143,0.53125,0.257936508,1.0,False
26,1,2,1,0.538461538,0.230769231,0.375,0.144047619,1.0,False
26,2,3,1,0.333333333,0.230769231,0.53125,0.212087912,1.0,False
26,3,4,1,0.314814815,0.230769231,0.5,0.267482517,1.0,False
26,4,5,1,0.333333333,0.230769231,0.5625,0.21537629,1.0,False
26,5,6,1,0.321428571,0.230769231,0.515625,0.252380952,1.0,False
26,6,7,1,0.383333333,0.230769231,0.46875,0.270188145,1.0,False
27,0,1,1,0.306122449,0.333333333,0.5625,0.247771673,1.0,False
27,1,2,1,0.490566038,0.454545455,0.359375,0.246378621,1.0,False
27,2,3,1,0.454545455,0.454545455,0.40625,0.238594739,1.0,False
27,3,4,1,0.425925926,0.333333333,0.40625,0.328205128,1.0,False
27,4,5,1,0.431372549,0.333333333,0.453125,0.332634033,1.0,False
27,5,6,1,0.444444444,0.6,0.390625,0.375102675,1.0,False
27,6,7,1,0.438596491,0.454545455,0.421875,0.244047619,1.0,False
28,0,1,1,0.36,0.230769231,0.5625,0.221969697,1.0,False
28,1,2,1,0.509433962,0.333333333,0.40625,0.254711955,1.0,False
28,2,3,1,0.440677966,0.230769231,0.453125,0.224908425,1.0,False
28,3,4,1,0.433962264,0.142857143,0.515625,0.223076923,1.0,False
28,4,5,1,0.41509434,0.066666667,0.578125,0.223443223,1.0,False
28,5,6,1,0.467741935,0.142857143,0.453125,0.273393273,1.0,False
28,6,7,1,0.426229508,0.142857143,0.5,0.183608059,1.0,False
29,0,1,1,0.346938776,0.142857143,0.609375,0.156227106,1.0,False
29,1,2,1,0.5,0.333333333,0.4375,0.166891442,1.0,False
29,2,3,1,0.538461538,0.333333333,0.40625,0.255577756,1.0,False
29,3,4,1,0.428571429,0.230769231,0.5,0.223076923,1.0,False
29,4,5,1,0.411764706,0.230769231,0.515625,0.252880453,1.0,False
29,5,6,1,0.409836066,0.142857143,0.484375,0.226098901,1.0,False
29,6,7,1,0.482142857,0.142857143,0.46875,0.201098901,1.0,False
30,0,1,1,0.384615385,0.230769231,0.515625,0.271969697,1.0,False
30,1,2,1,0.553571429,0.454545455,0.375,0.270188145,1.0,False
30,2,3,1,0.545454545,0.333333333,0.375,0.268031968,1.0,False
30,3,4,1,0.56,0.230769231,0.390625,0.286213786,1.0,False
30,4,5,1,0.5,0.333333333,0.375,0.347785548,1.0,False
30,5,6,1,0.62962963,0.333333333,0.296875,0.43970474,1.0,False
30,6,7,1,0.491803279,0.333333333,0.359375,0.370707071,1.0,False
31,0,1,1,0.38,0.230769231,0.546875,0.292735043,1.0,False
31,1,2,1,0.58490566,0.333333333,0.328125,0.278521479,1.0,False
31,2,3,1,0.547169811,0.142857143,0.34375,0.351293151,1.0,False
31,3,4,1,0.519230769,0.230769231,0.359375,0.350793651,1.0,False
31,4,5,1,0.466666667,0.230769231,0.421875,0.324300699,1.0,False
31,5,6,1,0.690909091,0.333333333,0.25,0.523015873,0.875,False
31,6,7,1,0.55,0.230769231,0.390625,0.367424242,1.0,False
32,0,1,1,0.32,0.6,0.46875,0.238564214,1.0,False
32,1,2,1,0.461538462,0.6,0.34375,0.178205128,1.0,False
32,2,3,1,0.470588235,0.333333333,0.390625,0.241891442,1.0,False
32,3,4,1,0.448979592,0.333333333,0.4375,0.336530137,1.0,False
32,4,5,1,0.37037037,0.333333333,0.46875,0.272496947,1.0,False
32,5,6,1,0.535714286,0.454545455,0.34375,0.449603175,0.875,False
32,6,7,1,0.359375,0.333333333,0.453125,0.347843823,1.0,False
33,0,1,1,0.339285714,0.333333333,0.5,0.33459596,1.0,False
33,1,2,1,0.431034483,0.454545455,0.40625,0.18003663,1.0,False
33,2,3,1,0.481481481,0.333333333,0.40625,0.299034299,1.0,False
33,3,4,1,0.52,0.454545455,0.34375,0.434077034,1.0,False
33,4,5,1,0.5,0.230769231,0.390625,0.358508159,1.0,False
33,5,6,1,0.426229508,0.333333333,0.40625,0.432814408,1.0,False
33,6,7,1,0.525423729,0.230769231,0.359375,0.327006327,1.0,False
34,0,1,1,0.25,0.333333333,0.5625,0.26456044,1.0,False
34,1,2,1,0.41509434,0.454545455,0.390625,0.246053946,1.0,False
34,2,3,1,0.425925926,0.333333333,0.40625,0.286213786,1.0,False
34,3,4,1,0.384615385,0.333333333,0.46875,0.229070929,1.0,False
34,4,5,1,0.384615385,0.333333333,0.5,0.251415251,1.0,False
34,5,6,1,0.421052632,0.333333333,0.390625,0.361782662,1.0,False
34,6,7,1,0.396551724,0.230769231,0.46875,0.230536131,1.0,False
35,0,1,1,0.29787234,0.230769231,0.515625,0.304639805,1.0,False
35,1,2,1,0.444444444,0.454545455,0.375,0.250815851,1.0,False
35,2,3,1,0.391304348,0.333333333,0.4375,0.241891442,1.0,False
35,3,4,1,0.382978723,0.230769231,0.515625,0.234432234,1.0,False
35,4,5,1,0.245614035,0.230769231,0.59375,0.181776557,1.0,False
35,5,6,1,0.433333333,0.454545455,0.484375,0.325743701,1.0,False
35,6,7,1,0.338461538,0.066666667,0.5625,0.210714286,1.0,False
36,0,1,1,0.361702128,0.454545455,0.453125,0.31002331,1.0,False
36,1,2,1,0.568181818,0.333333333,0.375,0.250541126,1.0,False
36,2,3,1,0.479166667,0.333333333,0.40625,0.262404262,1.0,False
36,3,4,1,0.403846154,0.230769231,0.5,0.216250416,1.0,False
36,4,5,1,0.321428571,0.142857143,0.578125,0.201098901,1.0,False
36,5,6,1,0.517857143,0.333333333,0.390625,0.336732712,1.0,False
36,6,7,1,0.393442623,0.142857143,0.484375,0.241017316,1.0,False
37,0,1,1,0.217391304,0.230769231,0.59375,0.230902431,1.0,False
37,1,2,1,0.382978723,0.333333333,0.40625,0.177289377,1.0,False
37,2,3,1,0.476190476,0.333333333,0.40625,0.34032634,1.0,False
37,3,4,1,0.348837209,0.230769231,0.515625,0.1996337,1.0,False
37,4,5,1,0.28,0.230769231,0.578125,0.215750916,1.0,False
37,5,6,1,0.35,0.142857143,0.515625,0.232367632,1.0,False
37,6,7,1,0.35,0.230769231,0.515625,0.177289377,1.0,False
38,0,1,1,0.408163265,0.333333333,0.453125,0.337973138,1.0,False
38,1,2,1,0.510638298,0.230769231,0.421875,0.289502165,1.0,False
38,2,3,1,0.468085106,0.454545455,0.390625,0.29037629,1.0,False
38,3,4,1,0.352941176,0.333333333,0.515625,0.201098901,1.0,False
38,4,5,1,0.327272727,0.142857143,0.609375,0.205261405,1.0,False
38,5,6,1,0.457627119,0.230769231,0.4375,0.334199134,1.0,False
38,6,7,1,0.328125,0.230769231,0.5625,0.138919414,1.0,False
39,0,1,1,0.5,0.454545455,0.359375,0.400743701,1.0,False
39,1,2,1,0.5,0.454545455,0.40625,0.36033966,1.0,False
39,2,3,1,0.522727273,0.454545455,0.359375,0.365967366,1.0,False
39,3,4,1,0.428571429,0.230769231,0.484375,0.279387279,1.0,False
39,4,5,1,0.44,0.230769231,0.484375,0.237087912,1.0,False
39,5,6,1,0.526315789,0.454545455,0.359375,0.413369963,0.875,False
39,6,7,1,0.375,0.230769231,0.546875,0.198393273,1.0,False
40,0,1,1,0.5,0.333333333,0.453125,0.258241758,1.0,False
40,1,2,1,0.5625,0.142857143,0.40625,0.223443223,1.0,False
40,2,3,1,0.47826087,0.230769231,0.375,0.293406593,1.0,False
40,3,4,1,0.4,0.230769231,0.59375,0.194272394,1.0,False
40,4,5,1,0.303571429,0.230769231,0.609375,0.207092907,1.0,False
40,5,6,1,0.40625,0.333333333,0.453125,0.28951049,1.0,False
40,6,7,1,0.431034483,0.142857143,0.484375,0.231726607,1.0,False
41,0,1,1,0.5625,0.066666667,0.40625,0.257042957,1.0,False
41,1,2,1,0.510204082,0.230769231,0.4375,0.18951049,1.0,False
41,2,3,1,0.444444444,0.454545455,0.390625,0.282295482,1.0,False
41,3,4,1,0.319148936,0.066666667,0.703125,0.126739927,1.0,False
41,4,5,1,0.333333333,0.0,0.6875,0.173484848,1.0,False
41,5,6,1,0.5,0.066666667,0.46875,0.287728938,0.875,False
41,6,7,1,0.368421053,0.230769231,0.5625,0.154395604,1.0,False
42,0,1,1,0.511111111,0.333333333,0.375,0.329337329,1.0,False
42,1,2,1,0.581395349,0.230769231,0.40625,0.254711955,1.0,False
42,2,3,1,0.444444444,0.333333333,0.4375,0.28023088,1.0,False
42,3,4,1,0.355555556,0.142857143,0.65625,0.13956044,1.0,False
42,4,5,1,0.375,0.066666667,0.640625,0.177056277,1.0,False
42,5,6,1,0.472727273,0.066666667,0.46875,0.247252747,1.0,False
42,6,7,1,0.35,0.142857143,0.578125,0.14491342,1.0,False
43,0,1,1,0.590909091,0.333333333,0.34375,0.288544789,1.0,False
43,1,2,1,0.675,0.333333333,0.265625,0.337995338,1.0,False
43,2,3,1,0.488372093,0.6,0.296875,0.433954934,1.0,False
43,3,4,1,0.409090909,0.230769231,0.5625,0.247252747,1.0,False
43,4,5,1,0.4,0.230769231,0.5625,0.194272394,1.0,False
43,5,6,1,0.538461538,0.454545455,0.34375,0.428715729,1.0,False
43,6,7,1,0.461538462,0.066666667,0.515625,0.191575092,1.0,False
