step,layer,active_experts,runtime_gpu_prefix,oracle_gpu_prefix,prefix_match,prefix_delta,prediction_extrapolated,runtime_predicted_objective_us,runtime_selected_actual_objective_us,oracle_objective_us,regret_us,regret_percent
3,30,40,14,14,True,0,False,64.320954944,64.23702694400001,64.23702694400001,0.0,0.0
3,31,39,14,14,True,0,False,64.320954944,64.23702694400001,64.23702694400001,0.0,0.0
3,32,37,12,12,True,0,False,60.048944000000006,60.051752,60.051752,0.0,0.0
3,33,40,13,13,True,0,False,61.58804000000001,61.60988,61.60988,0.0,0.0
3,34,38,13,13,True,0,False,61.58804000000001,61.60988,61.60988,0.0,0.0
3,35,32,12,12,True,0,False,58.509848000000005,58.531064,58.531064,0.0,0.0
3,36,39,14,14,True,0,False,64.320954944,64.23702694400001,64.23702694400001,0.0,0.0
3,37,31,11,11,True,0,False,55.431656000000004,55.451936,55.451936,0.0,0.0
3,38,36,12,12,True,0,False,58.37728416,58.28399616,58.28399616,0.0,0.0
3,39,37,13,13,True,0,False,61.58804000000001,61.60988,61.60988,0.0,0.0
3,40,32,12,12,True,0,False,58.509848000000005,58.531064,58.531064,0.0,0.0
3,41,32,12,12,True,0,False,58.509848000000005,58.531064,58.531064,0.0,0.0
3,42,32,12,12,True,0,False,60.048944000000006,60.051752,60.051752,0.0,0.0
3,43,32,12,12,True,0,False,58.381478464000004,58.345286464,58.345286464,0.0,0.0
3,44,36,13,13,True,0,False,61.353313856,61.265329855999994,61.265329855999994,0.0,0.0
3,45,30,12,12,True,0,False,58.37728416,58.28399616,58.28399616,0.0,0.0
3,46,35,13,13,True,0,False,61.353313856,61.265329855999994,61.265329855999994,0.0,0.0
3,47,29,11,11,True,0,False,55.409643072,55.382187072,55.382187072,0.0,0.0
4,0,34,12,12,True,0,False,58.381478464000004,58.345286464,58.345286464,0.0,0.0
4,1,37,12,12,True,0,False,60.048944000000006,60.051752,60.051752,0.0,0.0
4,2,37,13,13,True,0,False,61.353313856,61.265329855999994,61.265329855999994,0.0,0.0
4,3,34,12,12,True,0,False,58.37728416,58.28399616,58.28399616,0.0,0.0
4,4,38,12,12,True,0,False,60.048944000000006,60.051752,60.051752,0.0,0.0
4,5,38,13,13,True,0,False,61.353313856,61.265329855999994,61.265329855999994,0.0,0.0
4,6,39,13,13,True,0,False,63.127136,63.12932,63.12932,0.0,0.0
4,7,39,13,13,True,0,False,63.127136,63.12932,63.12932,0.0,0.0
4,8,37,12,12,True,0,False,58.509848000000005,58.531064,58.531064,0.0,0.0
4,9,38,13,13,True,0,False,61.353313856,61.265329855999994,61.265329855999994,0.0,0.0
4,10,40,13,13,True,0,False,61.58804000000001,61.60988,61.60988,0.0,0.0
4,11,39,13,13,True,0,False,61.349119552000005,61.376263552000005,61.376263552000005,0.0,0.0
4,12,43,14,14,True,0,False,64.66623200000001,64.68776,64.68776,0.0,0.0
4,13,33,12,12,True,0,False,60.048944000000006,60.051752,60.051752,0.0,0.0
4,14,37,12,12,True,0,False,60.048944000000006,60.051752,60.051752,0.0,0.0
4,15,37,12,12,True,0,False,60.048944000000006,60.051752,60.051752,0.0,0.0
4,16,34,12,12,True,0,False,58.381478464000004,58.345286464,58.345286464,0.0,0.0
4,17,34,12,12,True,0,False,58.381478464000004,58.345286464,58.345286464,0.0,0.0
4,18,39,13,13,True,0,False,63.127136,63.12932,63.12932,0.0,0.0
4,19,42,14,14,True,0,False,64.320954944,64.23702694400001,64.23702694400001,0.0,0.0
4,20,36,12,12,True,0,False,58.509848000000005,58.531064,58.531064,0.0,0.0
4,21,41,13,13,True,0,False,63.127136,63.12932,63.12932,0.0,0.0
