step,layer,expert,assignment_count,normalized_assignment_share,routing_weight_sum,hot_rank
1,19,38,2,0.03125,0.221374899,0
1,20,0,8,0.125,0.993569359,1
1,20,23,8,0.125,0.848287426,2
1,20,48,8,0.125,0.866625465,3
1,20,54,8,0.125,0.820521429,4
1,20,68,8,0.125,1.080748945,5
1,20,78,8,0.125,0.880337231,6
1,20,85,8,0.125,1.465926513,7
1,20,114,8,0.125,1.043983631,8
1,21,2,8,0.125,1.017453283,1
1,21,6,8,0.125,1.089460656,2
1,21,26,8,0.125,1.120237365,3
1,21,39,8,0.125,0.845214725,4
1,21,63,8,0.125,1.524428561,5
1,21,67,8,0.125,0.832237206,6
1,21,115,8,0.125,0.790819958,7
1,21,92,7,0.109375,0.683730371,8
1,21,124,1,0.015625,0.096417874,0
1,22,0,8,0.125,1.038125888,1
1,22,36,8,0.125,1.402447656,2
1,22,48,8,0.125,0.916114971,3
1,22,75,8,0.125,0.977196194,4
1,22,81,8,0.125,0.901976682,5
1,22,84,8,0.125,1.098980784,6
1,22,92,8,0.125,0.839114852,7
1,22,6,5,0.078125,0.515970685,8
1,22,1,3,0.046875,0.310072288,0
1,23,17,8,0.125,1.132317334,1
1,23,31,8,0.125,1.265680835,2
1,23,36,8,0.125,0.760317244,3
1,23,48,8,0.125,1.253561124,4
1,23,62,8,0.125,0.927799143,5
1,23,81,8,0.125,1.132222041,6
1,23,120,8,0.125,0.77535446,7
1,23,121,7,0.109375,0.657284655,8
1,23,52,1,0.015625,0.095463164,0
1,24,11,8,0.125,0.925347492,1
1,24,18,8,0.125,1.292192757,2
1,24,19,8,0.125,0.979244374,3
1,24,28,8,0.125,1.014247097,4
1,24,45,8,0.125,0.873064235,5
1,24,54,8,0.125,1.008420937,6
1,24,57,8,0.125,0.947225235,7
1,24,106,8,0.125,0.960257873,8
1,25,1,8,0.125,2.267436862,1
1,25,13,8,0.125,1.090089574,2
1,25,34,8,0.125,0.65223702,3
1,25,43,8,0.125,0.932384267,4
1,25,50,8,0.125,0.749242261,5
1,25,72,8,0.125,0.756541312,6
1,25,91,8,0.125,0.717915177,7
1,25,110,8,0.125,0.834153526,8
1,26,2,8,0.125,1.240306452,1
1,26,5,8,0.125,1.050641194,2
1,26,27,8,0.125,0.941907689,3
1,26,31,8,0.125,0.965989798,4
1,26,72,8,0.125,1.083972886,5
1,26,91,8,0.125,0.910974167,6
1,26,97,8,0.125,0.909249634,7
1,26,29,4,0.0625,0.445277154,8
1,26,113,4,0.0625,0.451681025,0
1,27,14,8,0.125,0.87677677,1
1,27,15,8,0.125,0.876930565,2
1,27,26,8,0.125,1.260904223,3
1,27,44,8,0.125,0.806205854,4
1,27,63,8,0.125,1.224528089,5
1,27,79,8,0.125,0.817372501,6
1,27,84,8,0.125,1.280797169,7
1,27,118,8,0.125,0.85648483,8
1,28,10,8,0.125,0.871660545,1
1,28,42,8,0.125,1.025209941,2
1,28,46,8,0.125,0.721226953,3
1,28,70,8,0.125,0.906453773,4
1,28,91,8,0.125,1.229712114,5
1,28,98,8,0.125,0.779797688,6
1,28,122,8,0.125,1.757288918,7
1,28,107,5,0.078125,0.445049107,8
1,28,100,3,0.046875,0.26360096,0
1,29,3,8,0.125,1.107137948,1
1,29,30,8,0.125,0.938164257,2
1,29,37,8,0.125,0.831000805,3
1,29,51,8,0.125,0.765521407,4
1,29,70,8,0.125,0.816423364,5
1,29,94,8,0.125,0.971555859,6
1,29,120,8,0.125,0.837356091,7
1,29,124,8,0.125,1.73284027,8
1,30,6,8,0.125,1.196430802,1
1,30,18,8,0.125,0.982401431,2
1,30,58,8,0.125,1.043665454,3
1,30,82,8,0.125,0.952043995,4
1,30,93,8,0.125,0.989985436,5
1,30,94,8,0.125,1.027356818,6
