gpu_prefix_length,gpu_experts,gpu_tokens,pim_tokens,gpu_memory_us,gpu_compute_us,gpu_path_us,pim_path_us,scheduler_us,objective_us,step,layer,selected
9,5;14;16;48;49;51;58;84;118,64,0,26.303784,3.268435456,29.572219456,0.0,20.0,49.572219456,2,39,True
9,19;23;48;50;69;91;105;122;123,64,0,26.303784,3.268435456,29.572219456,0.0,20.0,49.572219456,2,40,True
8,49;51;58;80;81;100;116;124,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,2,41,True
9,25;28;30;43;63;76;88;115;119,64,0,26.303784,3.268435456,29.572219456,0.0,20.0,49.572219456,2,42,True
9,2;11;18;29;45;46;86;91;96,64,0,26.303784,3.268435456,29.572219456,0.0,20.0,49.572219456,2,43,True
8,2;12;15;49;79;104;112;113,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,2,44,True
8,1;2;3;4;53;54;65;127,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,2,45,True
8,4;13;17;40;48;64;74;102,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,2,46,True
8,39;41;45;46;54;58;79;110,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,2,47,True
8,0;27;33;37;64;68;72;79,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,3,0,True
8,14;19;28;88;90;96;101;111,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,3,1,True
8,46;56;71;72;74;77;94;107,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,3,2,True
8,3;37;51;56;71;99;101;109,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,3,3,True
8,12;19;52;53;65;107;108;110,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,3,4,True
8,4;32;41;46;63;65;73;84,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,3,5,True
8,33;49;58;74;82;92;112;116,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,3,6,True
9,15;19;24;44;52;56;63;114;125,64,0,26.303784,3.268435456,29.572219456,0.0,20.0,49.572219456,3,7,True
9,22;23;50;53;54;68;76;100;123,64,0,26.303784,3.268435456,29.572219456,0.0,20.0,49.572219456,3,8,True
8,2;13;23;34;39;69;82;95,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,3,9,True
8,0;1;6;19;36;48;67;92,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,3,10,True
9,3;48;52;72;75;81;104;110;121,64,0,26.303784,3.268435456,29.572219456,0.0,20.0,49.572219456,3,11,True
9,11;18;37;39;41;78;92;111;122,64,0,26.303784,3.268435456,29.572219456,0.0,20.0,49.572219456,3,12,True
9,1;27;31;43;52;61;63;104;117,64,0,26.303784,3.268435456,29.572219456,0.0,20.0,49.572219456,3,13,True
8,2;19;49;66;92;97;109;113,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,3,14,True
8,0;26;58;79;84;122;125;127,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,3,15,True
8,35;42;48;82;91;97;107;122,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,3,16,True
9,13;54;73;80;90;118;122;123;124,64,0,26.303784,3.268435456,29.572219456,0.0,20.0,49.572219456,3,17,True
9,49;58;74;82;87;104;112;122;126,64,0,26.303784,3.268435456,29.572219456,0.0,20.0,49.572219456,3,18,True
8,10;15;24;29;52;56;114;119,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,3,19,True
9,10;45;48;53;76;85;92;114;123,64,0,26.303784,3.268435456,29.572219456,0.0,20.0,49.572219456,3,20,True
8,2;8;13;34;39;51;63;67,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,3,21,True
9,0;1;9;12;36;48;67;118;122,64,0,26.303784,3.268435456,29.572219456,0.0,20.0,49.572219456,3,22,True
11,5;6;14;15;31;36;48;75;104;110;117,64,0,32.264232,3.268435456,35.532667456,0.0,20.0,55.532667456,3,23,True
8,11;18;28;37;57;59;101;122,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,3,24,True
8,1;13;43;52;72;91;108;110,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,3,25,True
9,2;19;27;29;49;59;78;97;113,64,0,26.303784,3.268435456,29.572219456,0.0,20.0,49.572219456,3,26,True
9,0;15;26;33;63;79;84;88;111,64,0,26.303784,3.268435456,29.572219456,0.0,20.0,49.572219456,3,27,True
8,10;42;70;82;91;109;116;122,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,3,28,True
9,3;13;37;51;54;59;105;120;124,64,0,26.303784,3.268435456,29.572219456,0.0,20.0,49.572219456,3,29,True
9,6;25;48;58;79;82;93;98;111,64,0,26.303784,3.268435456,29.572219456,0.0,20.0,49.572219456,3,30,True
8,24;29;38;41;47;56;87;114,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,3,31,True
