variant,shape_key,shape,total_completion_us,baseline_total_completion_us,delta_total_completion_us,gpu_accepted_to_column_issue_mean_us,kv_accepted_to_column_issue_mean_us,gpu_injection_rejected_attempts,kv_injection_rejected_attempts
rb128-dual,61a354e5410c6bc400a1b8d3592198586eb22ba9a4a79bb194fb02114ba4fe0f,"{""gpu_read_transactions"": 1179648, ""kv_read_transactions"": 0, ""pim_gwrite_waves"": 8192, ""pim_mac_waves"": 3072, ""pim_read_waves"": 32}",98.535528,98.535528,0.0,0.16123429427083333,0.0,5877760,0
rb128-dual,6ac70e80a43138efda6468880d2247d1b954ba6a0caf3846af8f69cdc438dbf3,"{""gpu_read_transactions"": 2359296, ""kv_read_transactions"": 4194304, ""pim_gwrite_waves"": 0, ""pim_mac_waves"": 0, ""pim_read_waves"": 0}",66.054456,64.851696,1.2027599999999978,0.1646280390625,0.17410911108398439,17630336,16631168
rb128-dual,721d1ffbcce835c31d643e3ffad679cfa42c3ac840b91dc3a8f84338dbc69245,"{""gpu_read_transactions"": 2064384, ""kv_read_transactions"": 0, ""pim_gwrite_waves"": 2048, ""pim_mac_waves"": 768, ""pim_read_waves"": 8}",24.66048,24.661104,-0.0006240000000019563,0.16445001934523812,0.0,10546048,0
rb128-dual,7481f917e97e1db6760f8506ae31d31cbe4c6a1a0469acad5569d337ef33c8ce,"{""gpu_read_transactions"": 2064384, ""kv_read_transactions"": 4194304, ""pim_gwrite_waves"": 1024, ""pim_mac_waves"": 384, ""pim_read_waves"": 4}",63.01308,61.883016,1.1300640000000044,0.16483574404761903,0.17287098486328126,14439296,18259584
rb128-dual,987be3fda115241bbe194b830e0005589b32a70b6852bfd1ae7b3abd93502d71,"{""gpu_read_transactions"": 1179648, ""kv_read_transactions"": 8388608, ""pim_gwrite_waves"": 4096, ""pim_mac_waves"": 1536, ""pim_read_waves"": 16}",96.130008,95.2926,0.8374080000000106,0.1599843984375,0.1687078634033203,13622144,36155776
rb128-dual,a57657f8f60627c0b42bc8893efddef5de1d5c4d963625a8d6ddb8a4c5765bb1,"{""gpu_read_transactions"": 1179648, ""kv_read_transactions"": 0, ""pim_gwrite_waves"": 4096, ""pim_mac_waves"": 1536, ""pim_read_waves"": 16}",49.285392,49.28508,0.00031200000000097816,0.16139750520833332,0.0,5882240,0
rb128-dual,a69e6d5251ebb1936b42ad0ed5eac084d5e705c93ce4529f6ca527bd16cca2ce,"{""gpu_read_transactions"": 2064384, ""kv_read_transactions"": 8388608, ""pim_gwrite_waves"": 1024, ""pim_mac_waves"": 384, ""pim_read_waves"": 4}",105.27036,104.280384,0.9899759999999986,0.16483574404761903,0.16982023461914061,23107456,31401600
rb128-dual,a6fb6210aaef4eefd3cf865a407e648d37fa1dce41ab0a5618cb76989bc07b14,"{""gpu_read_transactions"": 0, ""kv_read_transactions"": 4194304, ""pim_gwrite_waves"": 0, ""pim_mac_waves"": 0, ""pim_read_waves"": 0}",42.032328,41.860104,0.17222399999999993,0.0,0.16551425756835939,0,21589760
rb128-dual,c2804e40610e68d4510163daa20ec4d6ef40aa53468413b1aed624dbbe747444,"{""gpu_read_transactions"": 1179648, ""kv_read_transactions"": 4194304, ""pim_gwrite_waves"": 4096, ""pim_mac_waves"": 1536, ""pim_read_waves"": 16}",54.1008,53.350752,0.7500479999999996,0.16261930208333333,0.17072517553710936,8538112,19447424
rb128-dual,c3898dba0eadc0cc0f7933a1ff3a0c21b9bb856f4cdb0894aa3710cfa4930c34,"{""gpu_read_transactions"": 0, ""kv_read_transactions"": 8388608, ""pim_gwrite_waves"": 0, ""pim_mac_waves"": 0, ""pim_read_waves"": 0}",84.289608,84.240936,0.048671999999996274,0.0,0.16614187097167968,0,43399936
rb128-dual,cc5fa2d380d97dda182ca3a78f37d544a336823837d178ae929ee4c6cd5711c3,"{""gpu_read_transactions"": 2064384, ""kv_read_transactions"": 8388608, ""pim_gwrite_waves"": 2048, ""pim_mac_waves"": 768, ""pim_read_waves"": 8}",104.907816,103.918152,0.9896639999999906,0.16294681696428573,0.16965505590820312,23132032,31244800
rb128-dual,cdcaff2fdb04a5fd6014e8c0bdd542bbe1943c614df1ba1d737f25dbeb4bf2a9,"{""gpu_read_transactions"": 2359296, ""kv_read_transactions"": 2097152, ""pim_gwrite_waves"": 0, ""pim_mac_waves"": 0, ""pim_read_waves"": 0}",44.951712,43.688112,1.2636000000000038,0.16519655208333334,0.1795157431640625,13625088,9678720
