case,policy,layer,batch_size,context_length,request_scale,capacity_state,layer_start_us,layer_end_us,layer_span_us,attention_latency_us,local_kv_latency_us,cxl_kv_latency_us,attention_critical_path_us,expert_critical_path_us,cxl_critical_path_us,gpu_request_completion_us,local_kv_request_completion_us,cxl_kv_request_completion_us,pim_request_completion_us,cxl_queue_wait_us_all_requests,cxl_link_busy_ratio
b8_c32k,sieve,7,8,32768,4096,spill,3568.541056191998,4078.3326356479974,509.79157945599945,470.56204799999995,0.094536,0.8424,470.56204799999995,3.3180434560000003,0.0,0.049608,0.094536,0.8424,0.0,298.850136,0.7045370370370371
b8_c32k,sieve,8,8,32768,4096,spill,4078.3326356479974,4588.124215103997,509.79157945599945,470.56204799999995,0.094536,0.8424,470.56204799999995,3.3180434560000003,0.0,0.049608,0.094536,0.8424,0.0,298.850136,0.7045370370370371
b8_c32k,sieve,9,8,32768,4096,spill,4588.124215103997,5097.915794559996,509.79157945599945,470.56204799999995,0.094536,0.8424,470.56204799999995,3.3180434560000003,0.0,0.049608,0.094536,0.8424,0.0,298.850136,0.7045370370370371
b8_c32k,sieve,10,8,32768,4096,spill,5097.915794559996,5607.707374015996,509.79157945599945,470.56204799999995,0.094536,0.8424,470.56204799999995,3.3180434560000003,0.0,0.049608,0.094536,0.8424,0.0,298.850136,0.7045370370370371
b8_c32k,sieve,11,8,32768,4096,spill,5607.707374015996,6117.498953471995,509.79157945599945,470.56204799999995,0.094536,0.8424,470.56204799999995,3.3180434560000003,0.0,0.049608,0.094536,0.8424,0.0,298.850136,0.7045370370370371
b8_c32k,sieve,12,8,32768,4096,spill,6117.498953471995,6627.290532927995,509.79157945599945,470.56204799999995,0.094536,0.8424,470.56204799999995,3.3180434560000003,0.0,0.049608,0.094536,0.8424,0.0,298.850136,0.7045370370370371
b8_c32k,sieve,13,8,32768,4096,spill,6627.290532927995,7137.082112383994,509.79157945599945,470.56204799999995,0.094536,0.8424,470.56204799999995,3.3180434560000003,0.0,0.049608,0.094536,0.8424,0.0,298.850136,0.7045370370370371
b8_c32k,sieve,14,8,32768,4096,spill,7137.082112383994,7646.873691839994,509.79157945599945,470.56204799999995,0.094536,0.8424,470.56204799999995,3.3180434560000003,0.0,0.049608,0.094536,0.8424,0.0,298.850136,0.7045370370370371
b8_c32k,sieve,15,8,32768,4096,spill,7646.873691839994,8156.665271295993,509.79157945599945,470.56204799999995,0.094536,0.8424,470.56204799999995,3.3180434560000003,0.0,0.049608,0.094536,0.8424,0.0,298.850136,0.7045370370370371
b8_c32k,sieve,16,8,32768,4096,spill,8156.665271295993,8666.456850751993,509.79157945599945,470.56204799999995,0.094536,0.8424,470.56204799999995,3.3180434560000003,0.0,0.049608,0.094536,0.8424,0.0,298.850136,0.7045370370370371
b8_c32k,sieve,17,8,32768,4096,spill,8666.456850751993,9176.24843020799,509.79157945599763,470.56204799999995,0.094536,0.8424,470.56204799999995,3.3180434560000003,0.0,0.049608,0.094536,0.8424,0.0,298.850136,0.7045370370370371
b8_c32k,sieve,18,8,32768,4096,spill,9176.24843020799,9686.040009663988,509.79157945599763,470.56204799999995,0.094536,0.8424,470.56204799999995,3.3180434560000003,0.0,0.049608,0.094536,0.8424,0.0,298.850136,0.7045370370370371
