design_id,config_id,chunk_count,buffer_slots,policy,layer,layer_start_us,layer_end_us,layer_span_us,attention_latency_us,routing_control_latency_us,expert_latency_us,combine_latency_us,first_partial_ready_offset_us,last_partial_ready_offset_us,first_merge_start_offset_us,last_merge_end_offset_us,gpu_merge_us,cxl_pim_pipeline_us,interpolation
c4_mac24576_p4,chunks8_slots2,8,2,gpu-only-expert-placement,14,167372.52397130898,179327.70425497403,11955.180283665046,9321.970524088467,3.070016,26.557051456,1.036864,310.94232,2334.2436,9308.674396088492,9319.869276088575,11.19488,2334.2436,0
c4_mac24576_p4,chunks8_slots2,8,2,gpu-only-expert-placement,15,179327.70425497403,191282.88453863907,11955.180283665046,9321.970524088467,3.070016,26.557051456,1.036864,310.94232,2334.2436,9308.674396088492,9319.869276088575,11.19488,2334.2436,0
c4_mac24576_p4,chunks8_slots2,8,2,gpu-only-expert-placement,16,191282.88453863907,203238.06482230412,11955.180283665046,9321.970524088467,3.070016,26.557051456,1.036864,310.94232,2334.2436,9308.674396088492,9319.869276088575,11.19488,2334.2436,0
c4_mac24576_p4,chunks8_slots2,8,2,gpu-only-expert-placement,17,203238.06482230412,215193.24510596917,11955.180283665046,9321.970524088467,3.070016,26.557051456,1.036864,310.94232,2334.2436,9308.674396088492,9319.869276088575,11.19488,2334.2436,0
c4_mac24576_p4,chunks8_slots2,8,2,gpu-only-expert-placement,18,215193.24510596917,227148.4253896342,11955.180283665046,9321.970524088467,3.070016,26.557051456,1.036864,310.94232,2334.2436,9308.674396088492,9319.869276088575,11.19488,2334.2436,0
c4_mac24576_p4,chunks8_slots2,8,2,gpu-only-expert-placement,19,227148.4253896342,239103.60567329926,11955.180283665046,9321.970524088467,3.070016,26.557051456,1.036864,310.94232,2334.2436,9308.674396088492,9319.869276088575,11.19488,2334.2436,0
c4_mac24576_p4,chunks8_slots2,8,2,gpu-only-expert-placement,20,239103.60567329926,251058.7859569643,11955.180283665046,9321.970524088467,3.070016,26.557051456,1.036864,310.94232,2334.2436,9308.674396088492,9319.869276088575,11.19488,2334.2436,0
c4_mac24576_p4,chunks8_slots2,8,2,gpu-only-expert-placement,21,251058.7859569643,263013.9662406294,11955.180283665075,9321.970524088467,3.070016,26.557051456,1.036864,310.94232,2334.2436,9308.674396088492,9319.869276088575,11.19488,2334.2436,0
c4_mac24576_p4,chunks8_slots2,8,2,gpu-only-expert-placement,22,263013.9662406294,274969.14652429416,11955.180283664784,9321.970524088467,3.070016,26.557051456,1.036864,310.94232,2334.2436,9308.674396088463,9319.869276088313,11.19488,2334.2436,0
c4_mac24576_p4,chunks8_slots2,8,2,gpu-only-expert-placement,23,274969.14652429416,286924.32680795895,11955.180283664784,9321.970524088467,3.070016,26.557051456,1.036864,310.94232,2334.2436,9308.674396088463,9319.869276088313,11.19488,2334.2436,0
