gpu_prefix_length,gpu_experts,gpu_tokens,pim_tokens,gpu_memory_us,gpu_compute_us,gpu_path_us,pim_path_us,scheduler_us,objective_us,step,layer,selected
16,0;3;4;5;6;11;16;17;22;27;28;33;34;38;39;56,31,33,47.121984,3.130023424,50.252007424,50.844768,20.0,70.844768,0,37,True
16,1;2;7;10;11;12;13;18;23;24;29;34;35;40;46;63,31,33,47.121984,3.130023424,50.252007424,50.844768,20.0,70.844768,0,38,True
16,2;3;8;9;14;17;18;19;20;25;30;31;36;41;53;70,31,33,47.121984,3.130023424,50.252007424,50.844768,20.0,70.844768,0,39,True
16,4;5;9;10;15;16;21;24;25;26;27;32;37;43;60;77,31,33,47.121984,3.130023424,50.252007424,50.844768,20.0,70.844768,0,40,True
16,0;1;5;6;11;12;16;17;22;23;31;32;33;50;67;84,31,33,47.121984,3.130023424,50.252007424,50.844768,20.0,70.844768,0,41,True
16,1;2;6;7;8;12;13;18;19;23;38;39;40;57;74;91,31,33,47.121984,3.130023424,50.252007424,50.844768,20.0,70.844768,0,42,True
16,2;3;4;8;9;13;14;15;19;20;45;46;47;64;81;98,31,33,47.121984,3.130023424,50.252007424,50.844768,20.0,70.844768,0,43,True
16,3;4;5;9;10;11;15;16;20;21;52;53;54;71;88;105,31,33,47.121984,3.130023424,50.252007424,50.844768,20.0,70.844768,0,44,True
16,0;1;5;6;10;11;12;16;17;18;59;60;61;78;95;112,31,33,47.121984,3.130023424,50.252007424,50.844768,20.0,70.844768,0,45,True
16,1;2;6;7;8;12;13;17;18;19;66;67;68;85;102;119,31,33,47.121984,3.130023424,50.252007424,50.844768,20.0,70.844768,0,46,True
16,2;3;8;9;13;14;15;19;20;24;73;74;75;92;109;126,31,33,47.121984,3.130023424,50.252007424,50.844768,20.0,70.844768,0,47,True
16,0;3;4;5;6;11;16;17;22;27;28;33;34;38;39;56,31,33,47.121984,3.130023424,50.252007424,50.844768,20.0,70.844768,1,0,True
16,1;2;7;10;11;12;13;18;23;24;29;34;35;40;46;63,31,33,47.121984,3.130023424,50.252007424,50.844768,20.0,70.844768,1,1,True
