attention_critical_path_us,baseline_total_latency_us,case,delta_vs_baseline_us,events_sha256,kv_read_bytes,kv_read_critical_path_us,memory_peak_bytes,mode,policy,run_manifest_sha256,summary_sha256,throughput_request_tokens_per_s,total_latency_us
45933.506304,96326.004479998,b8_c8k,-6445.203455999988,32dc755f6b038b30fa5cc4cc7ca399eceb63134877482bee86f3c1cf62aab573,51561627648,0.0,67512897536,overlap-local-hbm-v1,allexp,c0d490f2771ff7fa6d1f38ff74f402036397be1852bd29b3ac3652947e5d61a3,6c65d42db75e8afe7e14bfa01718b4cb52a7dc19bb7520267d4d8efa02f6f2b0,712.054179211,89880.801023998
45933.506304,68835.0605712,b8_c8k,-6445.203455999996,a0fa409fefce7f716f0a35834824107514af5b7a2c92394a2038924dad85b780,51561627648,0.0,67512897536,overlap-local-hbm-v1,pimoe,6c2da7edf719dc4b38e4f27e23ccfdf5f71279896d006ecc54283c635541aa16,26f6f89c18123a962e40d9d2762b12072b03f8d5b12be33f27811e576319f509,1025.807766827,62389.8571152
45933.506304,77665.776943103,b8_c8k,-6445.203456000003,6c4cc0510dd08e178ff808dd9db03302325349e16b15f34a7d43c3a99c746f8b,51561627648,0.0,67512897536,overlap-local-hbm-v1,sieve,1d10591357ac486d4f9b0839290e2f47f642ba0ef853896d89203de6f0c2d641,4cd82399f039c4c4ae151ca862b5a61540b32a44017a9ae2ecd3335ab24f40b8,898.616746067,71220.573487103
45933.506304,75262.999359103,b8_c8k,-6445.203455999013,02a3fd417c4d3891d4d78ba2e02ebfe2a41334f24b59a737d5cfb9c19fe5efac,51561627648,0.0,67512897536,overlap-local-hbm-v1,sieve-cycle-v1,35e5a0607c50cd01a237c3782de8d610683874c7ac4948a6f63fb9d94692b23b,0dd456db36173b6e6c580829c72e5aa7f5ea11c015ffa9b35957f9a5c53614d8,929.992005122,68817.795903104
45933.506304,77614.655575935,b8_c8k,-6445.203455998999,3ff748ac1eb5e0490e5c591ac045061dc2ec8771b5528353f4c13f0042ccda11,51561627648,0.0,67512897536,overlap-local-hbm-v1,sieve-fixed-16-cycle-v1,33f3c7fc5890ef78318cd14ceca647c110b64a7426ce3037b91f71cf7ca451d0,04f625bf06d319a6dae9544ee28cb9b959b2cf65a6c578720944d423149e2a55,899.262226891,71169.452119936
0.0,30497.653807106,b8_c16k,-390.29145600099946,99513eba9f0009d9ac3041bc64b043ab4ae32dd97b47dfd090563dc8c3c802e6,103101235200,12887.6544,73955348480,overlap-local-hbm-v1,gpu-only,100e47a37cb6b5d18940253f0bf10e02a18af23eb533bb6afa03d9e853fa5865,c08c87de30cd4dfbd4343fbd070e00116a0272e686c9d6e5f3a16e98689cc56c,2125.725902311,30107.362351105
91031.064192001,121138.4265431,b8_c16k,-12887.654399998995,a8c82cfdd945a363bebac5ff2b6411b00284484e1c9ee2aa39d1e4e8c098d8c3,103101235200,0.0,73955348480,overlap-local-hbm-v1,noexp,918fc37097ab162346111520e7414e7566e31f98272ab868b99fd50cdc8e6061,929e30eb13390e1dab746d17c67d920430c6fddd8cac5db5ca94521dfebc12d8,591.219801328,108250.772143101
91031.064192001,147866.013311999,b8_c16k,-12887.654400002008,eabe1d3f567b9a39f418f8dad364c5566d88e8f6c1c6d385aba535317f19733d,103101235200,0.0,73955348480,overlap-local-hbm-v1,allexp,bcf99fd52f7d2a8164eaa67716b3a2a1296a7ff65421c9c872b57abe70b9dd92,17f61eb3443ff638bf2342daab8fbf81a9a42a0cf8f517bda90d59edd05e757d,474.150082397,134978.358911997
91031.064192001,120293.223962363,b8_c16k,-12887.654399998006,71d2224090272ba6f8ea5319df44c8c3826136457459615bbd44002c778ff5a8,103101235200,0.0,73955348480,overlap-local-hbm-v1,pimoe,6c592c0d6732e1aafe7abb055d13569a4eca8a7c49bc026a8267d627fb1b4e93,fa8d6f04b782126d397d2a2779a6a6c2a4f101a9f9ca3945f3ecff0c4cff5993,595.872264919,107405.569562365
91031.064192001,128818.4265431,b8_c16k,-12887.654399998995,c99e7204a53cfb9ad53ee0f64efb98cfe03964a582913cd1c496e1e4ad481dc7,103101235200,0.0,73955348480,overlap-local-hbm-v1,sieve,199be594646d4206a0e4408b2d4026cb90986aa02a5b28977ce4ee2c641875ff,03d53f92774cbc9de80b94e4951946c1b73a68f6673741abb1e608219721f1ce,552.053599031,115930.772143101
91031.064192001,126744.499905722,b8_c16k,-12887.654399998995,60c3f8693d2ff15436f81c79bd3e3aa395ece294d995f693a599553f66233a9a,103101235200,0.0,73955348480,overlap-local-hbm-v1,sieve-cycle-v1,9fade3de10ab499ee77272e94554f2b41e3e2889c7af6268d8af28fcfd5eaff9,b382b09a59c5be510e8af122d3dd8cd4ea9a2410ae927bf21d4d7b7f8a62b88d,562.109372658,113856.845505723
91031.064192001,128818.4265431,b8_c16k,-12887.654399998995,efcbe88383fd6f3a0148839448e04772ab5319e087d8a2617cf3b3af9fed4726,103101235200,0.0,73955348480,overlap-local-hbm-v1,sieve-fixed-16-cycle-v1,7346e8cfe8854d9228372a888cb27ffdeb23ed0c8608405d67dc0d1406a337a5,7d790d78575ff50c6190603c160e326358986c4adae8b06c4ff2e41ebfcd05ef,552.053599031,115930.772143101
0.0,24531.856478207,b16_c4k,-396.58291199999803,32680b3e68efaba7b71dbef9f81f6fd4f56e5091563e67dc1622797a5a2fe9a5,51583647744,6447.955968,67519123456,overlap-local-hbm-v1,gpu-only,6b95ab23540636b1bb1839438ab32c7a9f78edb543f3c68e092ba70f4f08e0be,61a7c7f07bada734c27b1228319a97e414e22f7f02ec5d70266f404eee9799df,5303.441025803,24135.273566207
46761.622272,70896.895838212,b16_c4k,-6447.955968001006,8ce1db0a433a679cf91134fdb741e4edd9450a5346be691e8c5b8f9bc13038b2,51583647744,0.0,67519123456,overlap-local-hbm-v1,noexp,1ad6548a25e2e2dfb809a291ac783a307d49ab12d6d2743478d32e8ba1a75d6a,e5d4f626a48b73acf011c8193a78d2c59d919563272583db9c87b0add9750e63,1986.068355163,64448.939870211
46761.622272,135044.260608,b16_c4k,-6447.955967999005,ae5a6a98a468ea8df09957699d82c4cd035e88be20072898bde29c7569160876,51583647744,0.0,67519123456,overlap-local-hbm-v1,allexp,3f06c6bad9e9136cdfc418115980c75550f83265d46bce1ba1191625d312de01,b723ecb11b4cdb7655b3683a227b09c1506691ab4db44ef1a89b97d1130eee51,995.362972197,128596.304640001
46761.622272,70223.826979523,b16_c4k,-6447.955968000002,701730c6fe8d97416b9b4370944743d1feaab32f576cb2d96bef08fc582fb4af,51583647744,0.0,67519123456,overlap-local-hbm-v1,pimoe,ed77a19aac83636eb42be8eae0c76c49023f8ebbebed4c9fd581e08078cd1f6e,f0e3bfe78c59afa43a1d8f331b9a85fb5e368d610dd067b2cd7df1e94b35827f,2007.028645314,63775.871011523
46761.622272,78576.895838211,b16_c4k,-6447.955967999995,a6be154fa0b3bc3085316f312369f615dfce07cce50c460b59cecaebe75dade6,51583647744,0.0,67519123456,overlap-local-hbm-v1,sieve,51c0b315368ae5a579dff63c9fb32bce3fd20199b56284233364d08d4ef6bafb,5db4ef05ea5c52287eb1d51e82123d90a8ea09a9dee2f1bb0954ef78a5ee7f60,1774.599768558,72128.939870211
46761.622272,76697.747762179,b16_c4k,-6447.955968000009,bf8d77b750642a76474e807c7f1fd81227d1c3aa8e3beb7292ab7f430c9944a7,51583647744,0.0,67519123456,overlap-local-hbm-v1,sieve-cycle-v1,fba1edbb0b31e4417783f28c742d701caffa326512c8ff435fb21ddd0aa2fd0c,ffa026285b49f25fbe606ad00e081f65f931b60481f5fb125ccf7c9cdcd6b2dd,1822.06945716,70249.791794179
46761.622272,78576.895838211,b16_c4k,-6447.955967999995,012cd97e99def69dda658a3fd10ae49e3fbd32c2bfb9dddab626baef1f525e9a,51583647744,0.0,67519123456,overlap-local-hbm-v1,sieve-fixed-16-cycle-v1,4d85be545bf91ac467767f4e6a1b9d05716f85cd8a4e53b680a08e7cf66aec5e,009af7eb9b2ca231b7cf0191b83d0cb973a169d44c27ace7e1d5389fb056c13f,1774.599768558,72128.939870211
0.0,31176.892766207,b16_c8k,-396.58291199999803,249ecbf6a2cfc7b35ab72ce90c2cc05681541e13e529922bf14909a8077b20ee,103123255296,12890.406912,73961574400,overlap-local-hbm-v1,gpu-only,319a1098397751b9d71378837c67e4fd9ad234f4340d293d1e3bb0b225612cfa,46261433f359ebb99a3f1dfe0d634204bffac5f1707f83ec1f4befad8c547783,4158.502646863,30780.309854207
91857.997056001,122638.306910209,b16_c8k,-12890.406911998987,c05f55c2e4eb0628045d4208891fd285fa04d82d894347717eb0618af1d2a4f8,103123255296,0.0,73961574400,overlap-local-hbm-v1,noexp,2fd2dd58c3caf70f82d73d57ed78f7e3d9d3289f32d49316eb9770812c6557a4,560134e18a8711398183baa3bc7a111982e938f8013d1e9613a47dafa06a03c0,1166.309332589,109747.89999821
91857.997056001,186583.086335994,b16_c8k,-12890.406911999016,49b68e4c875d908ba1d164daae3db4a3caa048605b77ce62b1def32a0f09d1d7,103123255296,0.0,73961574400,overlap-local-hbm-v1,allexp,78890a411c76e5cbc9cfc2e33a829cd477263d4be82f448ad576e6dfad3623a6,3157a0c975e734660995fa73e324fe098e25f8ec5fe17393e7aa0a9d8e78019b,736.933763844,173692.679423995
