gpu_prefix_length,gpu_experts,gpu_tokens,pim_tokens,gpu_memory_us,gpu_compute_us,gpu_path_us,pim_path_us,scheduler_us,objective_us,step,layer,selected
16,6;7;8;15;17;18;19;20;40;44;55;60;67;73;84;115,39,25,47.047728,3.163577856,50.211305856,38.532312,20.0,70.211305856,1,40,True
16,1;14;15;19;21;36;42;46;48;52;64;69;80;83;97;103,37,27,47.01216,3.155189248,50.167349248,41.609256,20.0,70.167349248,1,41,True
16,5;7;24;31;32;36;37;39;49;59;64;68;71;74;76;101,42,22,46.94664,3.176160768,50.122800768,33.895368,20.0,70.122800768,1,42,True
16,2;4;6;12;19;20;26;30;40;43;45;49;60;77;78;127,40,24,46.981272,3.16777216,50.14904416,36.973872,20.0,70.14904416,1,43,True
16,0;3;13;20;22;23;30;45;53;54;68;71;73;79;92;121,41,23,47.003424,3.171966464,50.175390464,35.452872,20.0,70.175390464,1,44,True
16,1;7;12;17;20;22;26;46;63;70;76;80;84;94;103;112,44,20,46.944456,3.184549376,50.129005376,30.817488,20.0,70.129005376,1,45,True
16,8;28;29;30;31;38;39;67;68;75;80;81;83;84;97;105,45,19,46.930104,3.18874368,50.11884768,29.296488,20.0,70.11884768,1,46,True
16,9;15;31;32;34;35;47;52;66;71;73;95;111;117;121;123,49,15,46.843368,3.205520896,50.048888896,23.140104,20.0,70.048888896,1,47,True
16,3;21;29;57;62;66;71;77;103;106;110;114;116;120;126;127,44,20,46.944456,3.184549376,50.129005376,30.817488,20.0,70.129005376,2,0,True
16,3;6;8;9;23;42;45;48;58;76;78;86;88;91;95;107,43,21,46.947888,3.180355072,50.128243072,32.37468,20.0,70.128243072,2,1,True
16,4;7;14;15;24;25;47;51;72;73;90;100;116;119;122;125,49,15,46.843368,3.205520896,50.048888896,23.140104,20.0,70.048888896,2,2,True
16,2;7;12;13;16;29;39;46;53;76;84;89;90;112;120;127,48,16,46.978152,3.201326592,50.179478592,24.661728,20.0,70.179478592,2,3,True
16,0;23;25;39;47;52;56;63;77;81;83;91;93;104;109;124,44,20,46.944456,3.184549376,50.129005376,30.817488,20.0,70.129005376,2,4,True
16,8;9;12;13;16;17;47;51;68;70;80;82;95;105;107;117,47,17,46.914504,3.197132288,50.111636288,26.218296,20.0,70.111636288,2,5,True
16,8;13;16;25;30;32;34;53;56;59;63;70;71;79;80;90,40,24,46.981272,3.16777216,50.14904416,36.973872,20.0,70.14904416,2,6,True
16,3;9;10;16;18;28;50;51;71;73;87;91;98;103;109;117,44,20,46.944456,3.184549376,50.129005376,30.817488,20.0,70.129005376,2,7,True
16,3;6;7;24;28;36;38;43;46;51;59;64;80;109;111;116,43,21,46.947888,3.180355072,50.128243072,32.37468,20.0,70.128243072,2,8,True
16,10;12;19;32;45;49;65;83;87;94;96;102;112;114;116;117,44,20,46.944456,3.184549376,50.129005376,30.817488,20.0,70.129005376,2,9,True
16,5;14;19;26;30;32;45;53;69;70;74;83;86;107;108;113,44,20,46.944456,3.184549376,50.129005376,30.817488,20.0,70.129005376,2,10,True
16,0;8;21;23;28;37;39;64;67;69;82;85;86;87;89;109,47,17,46.914504,3.197132288,50.111636288,26.218296,20.0,70.111636288,2,11,True
16,26;43;50;52;53;56;58;63;68;79;85;95;107;110;113;116,38,26,47.074872,3.159383552,50.234255552,40.052688,20.0,70.234255552,2,12,True
16,16;21;24;36;40;42;44;64;65;66;75;77;83;98;104;118,48,16,46.978152,3.201326592,50.179478592,24.661728,20.0,70.179478592,2,13,True
16,0;6;8;10;16;22;28;39;47;55;62;66;71;75;79;88,38,26,47.074872,3.159383552,50.234255552,40.052688,20.0,70.234255552,2,14,True
16,10;16;23;35;46;56;59;60;61;69;70;76;77;82;120;125,40,24,46.981272,3.16777216,50.14904416,36.973872,20.0,70.14904416,2,15,True
16,7;17;19;20;24;41;50;60;67;73;83;84;87;94;119;123,40,24,46.981272,3.16777216,50.14904416,36.973872,20.0,70.14904416,2,16,True
16,0;14;15;18;35;52;53;66;78;83;84;97;102;115;116;120,39,25,47.047728,3.163577856,50.211305856,38.532312,20.0,70.211305856,2,17,True
16,0;8;25;27;30;32;44;53;56;63;70;71;74;86;90;96,39,25,47.047728,3.163577856,50.211305856,38.532312,20.0,70.211305856,2,18,True
