step,layer,batch_size,context_min,context_max,total_assignments,active_experts,inactive_experts,max_expert_load,mean_active_expert_load,cv_all_experts,cv_active_experts,gini_all_experts,hot_expert_count,hot_experts,hot_assignment_share,load_signature
2,18,8,8194,8194,64,8,120,8,8,3.872983346,0.0,0.9375,8,"25,58,74,82,91,107,112,126",1.0,"8,8,8,8,8,8,8,8"
2,19,8,8194,8194,64,8,120,8,8,3.872983346,0.0,0.9375,8,"15,28,29,52,56,92,102,114",1.0,"8,8,8,8,8,8,8,8"
2,20,8,8194,8194,64,8,120,8,8,3.872983346,0.0,0.9375,8,"45,68,72,76,85,92,114,123",1.0,"8,8,8,8,8,8,8,8"
2,21,8,8194,8194,64,8,120,8,8,3.872983346,0.0,0.9375,8,"2,32,38,44,51,56,63,67",1.0,"8,8,8,8,8,8,8,8"
2,22,8,8194,8194,64,8,120,8,8,3.872983346,0.0,0.9375,8,"0,1,36,42,48,71,75,77",1.0,"8,8,8,8,8,8,8,8"
2,23,8,8194,8194,64,8,120,8,8,3.872983346,0.0,0.9375,8,"6,14,15,17,31,36,110,121",1.0,"8,8,8,8,8,8,8,8"
2,24,8,8194,8194,64,8,120,8,8,3.872983346,0.0,0.9375,8,"11,18,28,37,62,101,106,125",1.0,"8,8,8,8,8,8,8,8"
2,25,8,8194,8194,64,9,119,8,7.111111111,3.774917218,0.268822665,0.937011719,8,"37,53,72,84,91,110,122,52",0.96875,"8,8,8,8,8,8,8,6,2"
2,26,8,8194,8194,64,8,120,8,8,3.872983346,0.0,0.9375,8,"5,9,24,29,72,87,97,109",1.0,"8,8,8,8,8,8,8,8"
2,27,8,8194,8194,64,9,119,8,7.111111111,3.774917218,0.268822665,0.937011719,8,"2,24,51,84,99,102,118,14",0.96875,"8,8,8,8,8,8,8,6,2"
2,28,8,8194,8194,64,9,119,8,7.111111111,3.816084381,0.306982542,0.937255859,8,"23,42,63,70,91,107,122,97",0.984375,"8,8,8,8,8,8,8,7,1"
2,29,8,8194,8194,64,8,120,8,8,3.872983346,0.0,0.9375,8,"13,14,34,37,51,70,120,124",1.0,"8,8,8,8,8,8,8,8"
2,30,8,8194,8194,64,10,118,8,6.4,3.64862988,0.34375,0.935302734,8,"6,25,48,58,79,82,107,94",0.921875,"8,8,8,8,8,8,6,5,3,2"
2,31,8,8194,8194,64,9,119,8,7.111111111,3.75,0.243067956,0.936767578,8,"24,28,29,39,59,87,115,63",0.953125,"8,8,8,8,8,8,8,5,3"
2,32,8,8194,8194,64,9,119,8,7.111111111,3.716517187,0.203725075,0.936279297,8,"5,18,24,51,85,124,48,6",0.9375,"8,8,8,8,8,8,7,5,4"
2,33,8,8194,8194,64,9,119,8,7.111111111,3.741657387,0.233853587,0.936523438,8,"13,44,53,56,63,67,115,6",0.9375,"8,8,8,8,8,8,8,4,4"
2,34,8,8194,8194,64,9,119,8,7.111111111,3.774917218,0.268822665,0.937011719,8,"1,36,42,70,75,77,92,5",0.96875,"8,8,8,8,8,8,8,6,2"
2,35,8,8194,8194,64,10,118,8,6.4,3.766629793,0.431883593,0.936767578,8,"6,15,17,28,31,48,110,87",0.96875,"8,8,8,8,8,8,8,6,1,1"
2,36,8,8194,8194,64,9,119,8,7.111111111,3.75,0.243067956,0.936767578,8,"11,18,37,57,62,101,106,85",0.953125,"8,8,8,8,8,8,8,5,3"
2,37,8,8194,8194,64,8,120,8,8,3.872983346,0.0,0.9375,8,"13,27,36,37,72,82,91,110",1.0,"8,8,8,8,8,8,8,8"
2,38,8,8194,8194,64,10,118,8,6.4,3.708099244,0.390312375,0.936035156,8,"2,5,24,29,62,109,110,97",0.9375,"8,8,8,8,8,8,8,4,2,2"
2,39,8,8194,8194,64,9,119,8,7.111111111,3.816084381,0.306982542,0.937255859,8,"5,14,16,48,51,58,84,118",0.984375,"8,8,8,8,8,8,8,7,1"
2,40,8,8194,8194,64,9,119,8,7.111111111,3.774917218,0.268822665,0.937011719,8,"19,23,48,69,91,105,122,123",0.96875,"8,8,8,8,8,8,8,6,2"
2,41,8,8194,8194,64,8,120,8,8,3.872983346,0.0,0.9375,8,"49,51,58,80,81,100,116,124",1.0,"8,8,8,8,8,8,8,8"
2,42,8,8194,8194,64,9,119,8,7.111111111,3.741657387,0.233853587,0.936523438,8,"25,28,30,63,76,88,119,43",0.9375,"8,8,8,8,8,8,8,4,4"
2,43,8,8194,8194,64,9,119,8,7.111111111,3.733296131,0.224260939,0.936523438,8,"2,11,18,45,46,91,86,96",0.953125,"8,8,8,8,8,8,7,6,3"
