case,policy,request_scale,layer,layer_start_us,layer_end_us,layer_span_us,attention_critical_path_us,expert_critical_path_us,cxl_critical_path_us,cxl_queue_wait_us_all_requests,cxl_link_busy_ratio
b8_c32k,sieve,4096,23,11725.005399487975,12234.788242943972,509.78284345599786,470.56204799999995,3.309307456,0.0,298.850136,0.7045370370370371
b8_c32k,sieve,4096,24,12234.788242943972,12744.57108639997,509.78284345599786,470.56204799999995,3.309307456,0.0,298.850136,0.7045370370370371
b8_c32k,sieve,4096,25,12744.57108639997,13254.353929855968,509.78284345599786,470.56204799999995,3.309307456,0.0,298.850136,0.7045370370370371
b8_c32k,sieve,4096,26,13254.353929855968,13764.136773311966,509.78284345599786,470.56204799999995,3.309307456,0.0,298.850136,0.7045370370370371
b8_c32k,sieve,4096,27,13764.136773311966,14273.919616767964,509.78284345599786,470.56204799999995,3.309307456,0.0,298.850136,0.7045370370370371
b8_c32k,sieve,4096,28,14273.919616767964,14783.702460223962,509.78284345599786,470.56204799999995,3.309307456,0.0,298.850136,0.7045370370370371
b8_c32k,sieve,4096,29,14783.702460223962,15293.48530367996,509.78284345599786,470.56204799999995,3.309307456,0.0,298.850136,0.7045370370370371
b8_c32k,sieve,4096,30,15293.48530367996,15803.268147135957,509.78284345599786,470.56204799999995,3.309307456,0.0,298.850136,0.7045370370370371
b8_c32k,sieve,4096,31,15803.268147135957,16313.050990591955,509.78284345599786,470.56204799999995,3.309307456,0.0,298.850136,0.7045370370370371
b8_c32k,sieve,4096,32,16313.050990591955,16822.833834047964,509.7828434560088,470.56204799999995,3.309307456,0.0,298.850136,0.7045370370370371
b8_c32k,sieve,4096,33,16822.833834047964,17332.616677503975,509.7828434560106,470.56204799999995,3.309307456,0.0,298.850136,0.7045370370370371
b8_c32k,sieve,4096,34,17332.616677503975,17842.399520959985,509.7828434560106,470.56204799999995,3.309307456,0.0,298.850136,0.7045370370370371
b8_c32k,sieve,4096,35,17842.399520959985,18352.182364415996,509.7828434560106,470.56204799999995,3.309307456,0.0,298.850136,0.7045370370370371
b8_c32k,sieve,4096,36,18352.182364415996,18861.965207872006,509.7828434560106,470.56204799999995,3.309307456,0.0,298.850136,0.7045370370370371
b8_c32k,sieve,4096,37,18861.965207872006,19371.748051328017,509.7828434560106,470.56204799999995,3.309307456,0.0,298.850136,0.7045370370370371
b8_c32k,sieve,4096,38,19371.748051328017,19881.530894784028,509.7828434560106,470.56204799999995,3.309307456,0.0,298.850136,0.7045370370370371
b8_c32k,sieve,4096,39,19881.530894784028,20391.31373824004,509.7828434560106,470.56204799999995,3.309307456,0.0,298.850136,0.7045370370370371
b8_c32k,sieve,4096,40,20391.31373824004,20901.09658169605,509.7828434560106,470.56204799999995,3.309307456,0.0,298.850136,0.7045370370370371
b8_c32k,sieve,4096,41,20901.09658169605,21410.87942515206,509.7828434560106,470.56204799999995,3.309307456,0.0,298.850136,0.7045370370370371
b8_c32k,sieve,4096,42,21410.87942515206,21920.66226860807,509.7828434560106,470.56204799999995,3.309307456,0.0,298.850136,0.7045370370370371
b8_c32k,sieve,4096,43,21920.66226860807,22430.44511206408,509.7828434560106,470.56204799999995,3.309307456,0.0,298.850136,0.7045370370370371
b8_c32k,sieve,4096,44,22430.44511206408,22940.22795552009,509.7828434560106,470.56204799999995,3.309307456,0.0,298.850136,0.7045370370370371
b8_c32k,sieve,4096,45,22940.22795552009,23450.0107989761,509.7828434560106,470.56204799999995,3.309307456,0.0,298.850136,0.7045370370370371
b8_c32k,sieve,4096,46,23450.0107989761,23959.793642432112,509.7828434560106,470.56204799999995,3.309307456,0.0,298.850136,0.7045370370370371
b8_c32k,sieve,4096,47,23959.793642432112,24469.576485888123,509.7828434560106,470.56204799999995,3.309307456,0.0,298.850136,0.7045370370370371
